A15.382.520.604.700.Spleen	A15.382.520.604.700	Spleen	Hemic and Immune Systems
A14.549.167.Dentition	A14.549.167	Dentition	Stomatognathic System
A03.556.249.249.209.Cecum	A03.556.249.249.209	Cecum	Digestive System
A08.186.211.464.405.Hippocampus	A08.186.211.464.405	Hippocampus	Nervous System
A05.360.319.679.490.Endometrium	A05.360.319.679.490	Endometrium	Urogenital System
A05.360.319.887.Vulva	A05.360.319.887	Vulva	Urogenital System
A11.436.294.064.Glucagon.Secreting.Cells	A11.436.294.064	Glucagon Secreting Cells	Cells
A11.382.625.Enteroendocrine.Cells	A11.382.625	Enteroendocrine Cells	Cells
A05.360.319.679.690.Myometrium	A05.360.319.679.690	Myometrium	Urogenital System
A15.382.520.604.800.Palatine.Tonsil	A15.382.520.604.800	Palatine Tonsil	Hemic and Immune Systems
A04.623.603.Oropharynx	A04.623.603	Oropharynx	Respiratory System
A09.371.729.Retina	A09.371.729	Retina	Sense Organs
A17.815.Skin	A17.815	Skin	Integumentary System
A10.549.400.Lymph.Nodes	A10.549.400	Lymph Nodes	Tissues
A15.382.520.Lymphatic.System	A15.382.520	Lymphatic System	Hemic and Immune Systems
A10.549.Lymphoid.Tissue	A10.549	Lymphoid Tissue	Tissues
A03.556.Gastrointestinal.Tract	A03.556	Gastrointestinal Tract	Digestive System
A05.360.319.679.256.Cervix.Uteri	A05.360.319.679.256	Cervix Uteri	Urogenital System
A15.145.229.188.Blood.Platelets	A15.145.229.188	Blood Platelets	Hemic and Immune Systems
A03.556.500.760.Salivary.Glands	A03.556.500.760	Salivary Glands	Digestive System
A03.556.249.124.Ileum	A03.556.249.124	Ileum	Digestive System
A07.541.560.Heart.Ventricles	A07.541.560	Heart Ventricles	Cardiovascular System
A08.186.211.132.Brain.Stem	A08.186.211.132	Brain Stem	Nervous System
A03.556.124.Intestines	A03.556.124	Intestines	Digestive System
A03.556.124.526.767.Rectum	A03.556.124.526.767	Rectum	Digestive System
A11.436.397.Keratinocytes	A11.436.397	Keratinocytes	Cells
A07.541.Heart	A07.541	Heart	Cardiovascular System
A03.556.500.760.464.Parotid.Gland	A03.556.500.760.464	Parotid Gland	Digestive System
A03.556.124.684.Intestine..Small	A03.556.124.684	Intestine  Small	Digestive System
A08.186.211.132.810.428.200.Cerebellum	A08.186.211.132.810.428.200	Cerebellum	Nervous System
A08.186.211.865.Rhombencephalon	A08.186.211.865	Rhombencephalon	Nervous System
A08.186.211.865.428.Metencephalon	A08.186.211.865.428	Metencephalon	Nervous System
A11.872.190.Embryonic.Stem.Cells	A11.872.190	Embryonic Stem Cells	Cells
A11.329.Connective.Tissue.Cells	A11.329	Connective Tissue Cells	Cells
A03.556.249.249.Intestine..Large	A03.556.249.249	Intestine  Large	Digestive System
A03.556.249.249.356.Colon	A03.556.249.249.356	Colon	Digestive System
A03.556.249.Lower.Gastrointestinal.Tract	A03.556.249	Lower Gastrointestinal Tract	Digestive System
A02.835.583.Joints	A02.835.583	Joints	Musculoskeletal System
A02.835.583.443.800.Synovial.Membrane	A02.835.583.443.800	Synovial Membrane	Musculoskeletal System
A02.835.583.443.Joint.Capsule	A02.835.583.443	Joint Capsule	Musculoskeletal System
A11.872.700.Pluripotent.Stem.Cells	A11.872.700	Pluripotent Stem Cells	Cells
A11.872.700.500.Induced.Pluripotent.Stem.Cells	A11.872.700.500	Induced Pluripotent Stem Cells	Cells
A03.556.875.Upper.Gastrointestinal.Tract	A03.556.875	Upper Gastrointestinal Tract	Digestive System
A06.407.071.Adrenal.Glands	A06.407.071	Adrenal Glands	Endocrine System
A11.872.190.260.Embryoid.Bodies	A11.872.190.260	Embryoid Bodies	Cells
A10.615.789.Serous.Membrane	A10.615.789	Serous Membrane	Tissues
A07.541.510.Heart.Valves	A07.541.510	Heart Valves	Cardiovascular System
A07.541.510.110.Aortic.Valve	A07.541.510.110	Aortic Valve	Cardiovascular System
A06.407.071.140.Adrenal.Cortex	A06.407.071.140	Adrenal Cortex	Endocrine System
A11.329.629.Osteoblasts	A11.329.629	Osteoblasts	Cells
A07.231.114.Arteries	A07.231.114	Arteries	Cardiovascular System
A05.810.890.Urinary.Bladder	A05.810.890	Urinary Bladder	Urogenital System
A11.872.Stem.Cells	A11.872	Stem Cells	Cells
A04.411.Lung	A04.411	Lung	Respiratory System
A03.734.414.Islets.of.Langerhans	A03.734.414	Islets of Langerhans	Digestive System
A11.872.040.Adult.Stem.Cells	A11.872.040	Adult Stem Cells	Cells
A03.556.875.875.Stomach	A03.556.875.875	Stomach	Digestive System
A05.360.444.492.Penis	A05.360.444.492	Penis	Urogenital System
A10.615.284.Extraembryonic.Membranes	A10.615.284	Extraembryonic Membranes	Tissues
A10.615.284.473.Chorion	A10.615.284.473	Chorion	Tissues
A05.360.444.492.362.Foreskin	A05.360.444.492.362	Foreskin	Urogenital System
A02.835.232.834.Spine	A02.835.232.834	Spine	Musculoskeletal System
A02.835.232.834.151.Cervical.Vertebrae	A02.835.232.834.151	Cervical Vertebrae	Musculoskeletal System
A11.620.Muscle.Cells	A11.620	Muscle Cells	Cells
A11.620.520.Myocytes..Smooth.Muscle	A11.620.520	Myocytes  Smooth Muscle	Cells
A07.231.908.Veins	A07.231.908	Veins	Cardiovascular System
A11.329.171.Chondrocytes	A11.329.171	Chondrocytes	Cells
A05.810.453.324.Kidney.Cortex	A05.810.453.324	Kidney Cortex	Urogenital System
A07.231.908.670.874.Umbilical.Veins	A07.231.908.670.874	Umbilical Veins	Cardiovascular System
A07.231.908.670.Portal.System	A07.231.908.670	Portal System	Cardiovascular System
A10.690.467.Muscle..Smooth	A10.690.467	Muscle  Smooth	Tissues
A11.436.275.Endothelial.Cells	A11.436.275	Endothelial Cells	Cells
A15.145.846.Serum	A15.145.846	Serum	Hemic and Immune Systems
A11.329.830.Stromal.Cells	A11.329.830	Stromal Cells	Cells
A11.872.580.Mesenchymal.Stem.Cells	A11.872.580	Mesenchymal Stem Cells	Cells
A10.165.450.Granulation.Tissue	A10.165.450	Granulation Tissue	Tissues
A10.165.450.300.Cicatrix	A10.165.450.300	Cicatrix	Tissues
A10.165.450.300.425.Keloid	A10.165.450.300.425	Keloid	Tissues
A03.734.Pancreas	A03.734	Pancreas	Digestive System
A07.231.Blood.Vessels	A07.231	Blood Vessels	Cardiovascular System
A11.329.228.Fibroblasts	A11.329.228	Fibroblasts	Cells
