MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A15.378	Hematopoietic System	Hemic and Immune Systems	Hematopoietic System	0.01	<= 0.20	GMIP (2.7)	HLX (2.4)	UBXN2B (2.3)	OASL (2.3)	RELB (2.2)	BCL3 (2.0)	LPAR2 (2.0)	PMFBP1 (2.0)	TRAFD1 (2.0)	DNM2 (2.0)
A15.378.316	Bone Marrow Cells	Hemic and Immune Systems	Hematopoietic System	0.01	<= 0.20	GMIP (2.7)	HLX (2.4)	UBXN2B (2.3)	OASL (2.3)	RELB (2.2)	BCL3 (2.0)	LPAR2 (2.0)	PMFBP1 (2.0)	TRAFD1 (2.0)	DNM2 (2.0)
A15.378.316.580	Monocytes	Hemic and Immune Systems	Hematopoietic System	0.01	<= 0.20	HLX (2.6)	PMFBP1 (2.5)	GMIP (2.4)	RELB (2.4)	OASL (2.2)	SH2B3 (2.1)	MAFB (1.9)	TRAFD1 (1.8)	BCL3 (1.8)	BLOC1S3 (1.7)
A07.231.114	Arteries	Cardiovascular System	Blood Vessels	0.01	<= 0.20	ITGB3 (2.6)	FADS2 (1.8)	BCAM (1.8)	PLCG1 (1.5)	KANK2 (1.4)	PVR (1.4)	CEACAM19 (1.4)	CARM1 (1.3)	ENSG00000226645 (1.2)	FADS1 (1.2)
A03.556.124	Intestines	Digestive System	Gastrointestinal Tract	0.02	<= 0.20	CBLC (2.3)	HNF1A (1.8)	AP1M2 (1.7)	DNM2 (1.4)	PCSK9 (1.4)	FRK (1.4)	KIAA1324 (1.1)	TM6SF2 (0.9)	TOMM40 (0.9)	ALDH2 (0.8)
A03.556.249	Lower Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.02	<= 0.20	CBLC (2.2)	HNF1A (1.7)	AP1M2 (1.7)	PCSK9 (1.5)	DNM2 (1.5)	FRK (1.3)	KIAA1324 (1.0)	TOMM40 (0.9)	PLEC (0.9)	QTRT1 (0.8)
A11.872.378	Hematopoietic Stem Cells	Cells	Stem Cells	0.02	> 0.20	TXNL4B (1.9)	ILF3 (1.8)	FEN1 (1.7)	BRAP (1.7)	USP1 (1.6)	DHODH (1.5)	C19orf52 (1.5)	POC5 (1.4)	HLX (1.4)	NAA25 (1.4)
A03.556.249.249.356	Colon	Digestive System	Gastrointestinal Tract	0.02	> 0.20	CBLC (2.2)	AP1M2 (1.7)	HNF1A (1.7)	PCSK9 (1.6)	DNM2 (1.5)	FRK (1.3)	KIAA1324 (1.0)	TOMM40 (1.0)	QTRT1 (0.9)	TRIB1 (0.8)
A03.556.249.249	Intestine  Large	Digestive System	Gastrointestinal Tract	0.03	> 0.20	CBLC (2.2)	AP1M2 (1.7)	HNF1A (1.7)	PCSK9 (1.5)	DNM2 (1.5)	FRK (1.3)	TOMM40 (1.0)	KIAA1324 (1.0)	QTRT1 (0.9)	PLEC (0.9)
A11.627	Myeloid Cells	Cells	Myeloid Cells	0.03	> 0.20	GMIP (2.7)	PMFBP1 (2.3)	UBXN2B (2.2)	HLX (2.2)	OASL (2.1)	TRAFD1 (2.0)	RELB (2.0)	SH2B3 (1.8)	BCL3 (1.8)	LPAR2 (1.8)
A03.556.124.526.767	Rectum	Digestive System	Gastrointestinal Tract	0.03	> 0.20	HNF1A (2.0)	CBLC (1.8)	DNM2 (1.5)	AP1M2 (1.4)	PLEC (1.2)	PCSK9 (1.1)	BCL3 (1.1)	FRK (1.1)	TOMM40 (1.0)	ALDH2 (1.0)
A15.382.680	Phagocytes	Hemic and Immune Systems	Immune System	0.03	> 0.20	GMIP (2.8)	PMFBP1 (2.5)	OASL (2.3)	HLX (2.3)	UBXN2B (2.2)	RELB (2.2)	TRAFD1 (2.1)	BCL3 (1.9)	SH2B3 (1.9)	LPAR2 (1.9)
A11.118.637	Leukocytes	Cells	Blood Cells	0.03	> 0.20	GMIP (1.8)	LPAR2 (1.7)	RELB (1.6)	BLOC1S3 (1.5)	PARP10 (1.5)	MAU2 (1.4)	OASL (1.4)	UBXN2B (1.3)	TRIB1 (1.2)	ENSG00000228044 (1.2)
A05.810.890	Urinary Bladder	Urogenital System	Urinary Tract	0.03	> 0.20	HAVCR1 (2.1)	CBLC (2.0)	DDX56 (1.4)	TOMM40 (1.4)	PLEC (1.3)	AP1M2 (1.3)	BCAM (1.2)	SMARCA4 (1.0)	TRIB1 (1.0)	DNM2 (1.0)
A15.382.812	Mononuclear Phagocyte System	Hemic and Immune Systems	Immune System	0.03	> 0.20	PMFBP1 (2.5)	HLX (2.3)	GMIP (2.2)	TRAFD1 (2.0)	SH2B3 (1.9)	RELB (1.9)	OASL (1.9)	MAFB (1.7)	BLOC1S3 (1.5)	COL4A3BP (1.5)
A03.556	Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.04	> 0.20	CBLC (2.0)	AP1M2 (1.5)	HNF1A (1.4)	FRK (1.2)	PCSK9 (1.1)	DNM2 (1.0)	KIAA1324 (0.8)	TOMM40 (0.8)	ALDH2 (0.8)	TM6SF2 (0.7)
A15.382	Immune System	Hemic and Immune Systems	Immune System	0.04	> 0.20	PARP10 (1.4)	ANKRD31 (1.4)	GMIP (1.4)	TRIB1 (1.4)	TIMD4 (1.2)	TRAPPC6A (1.2)	RELB (1.2)	LPAR2 (1.1)	ENSG00000228044 (1.1)	PMFBP1 (1.1)
A15.145	Blood	Hemic and Immune Systems	Blood	0.04	> 0.20	LPAR2 (1.8)	GMIP (1.8)	ENSG00000226648 (1.8)	MAU2 (1.7)	ZNF101 (1.5)	PARP10 (1.4)	HLX (1.3)	CYB561D1 (1.3)	RELB (1.2)	OASL (1.2)
A15.145.229	Blood Cells	Hemic and Immune Systems	Blood	0.04	> 0.20	GMIP (1.8)	ZNF101 (1.5)	LPAR2 (1.5)	MAU2 (1.5)	PARP10 (1.4)	RELB (1.3)	OASL (1.3)	UBXN2B (1.3)	BLOC1S3 (1.3)	DNM2 (1.1)
A15.145.229.637.555	Leukocytes  Mononuclear	Hemic and Immune Systems	Blood	0.04	> 0.20	BLOC1S3 (1.4)	TSSK6 (1.4)	RELB (1.4)	GMIP (1.4)	PARP10 (1.4)	ATP13A1 (1.3)	ZNF101 (1.3)	MAU2 (1.2)	SUGP1 (1.2)	C19orf52 (1.2)
A10.165	Connective Tissue	Tissues	Connective Tissue	0.05	> 0.20	ANKRD31 (1.7)	TRAPPC6A (1.4)	TRIB1 (1.3)	TIMD4 (1.3)	ERP29 (1.2)	GEMIN7 (1.2)	RHCE (1.2)	C12orf47 (1.2)	PARP10 (1.2)	ILF3 (1.1)
A15.382.812.260	Dendritic Cells	Hemic and Immune Systems	Immune System	0.05	> 0.20	HLX (3.1)	TRAFD1 (3.0)	PMFBP1 (2.1)	RELB (2.0)	GMIP (1.9)	SH2B3 (1.6)	NAA25 (1.5)	BCL3 (1.5)	BLOC1S3 (1.5)	OASL (1.4)
A11.066	Antigen Presenting Cells	Cells	Antigen-Presenting Cells	0.05	> 0.20	HLX (3.1)	TRAFD1 (3.0)	PMFBP1 (2.1)	RELB (2.0)	GMIP (1.9)	SH2B3 (1.6)	NAA25 (1.5)	BCL3 (1.5)	BLOC1S3 (1.5)	OASL (1.4)
A15.382.216	Bone Marrow	Hemic and Immune Systems	Immune System	0.05	> 0.20	ANKRD31 (2.1)	TRAPPC6A (1.7)	TRIB1 (1.7)	TIMD4 (1.6)	RHCE (1.5)	ERP29 (1.5)	PARP10 (1.5)	GEMIN7 (1.4)	C12orf47 (1.4)	ENSG00000235545 (1.3)
A10.615.789	Serous Membrane	Tissues	Membranes	0.05	> 0.20	HP (1.9)	TIMD4 (1.8)	NYNRIN (1.5)	CILP2 (1.4)	MAFB (1.3)	BCAM (1.3)	KANK2 (1.2)	MYLIP (0.9)	HLX (0.9)	ATXN2 (0.9)
A02.835	Skeleton	Musculoskeletal System	Skeleton	0.05	> 0.20	ANKRD31 (1.7)	TRAPPC6A (1.5)	TRIB1 (1.4)	TIMD4 (1.3)	ERP29 (1.3)	GEMIN7 (1.3)	RHCE (1.2)	ILF3 (1.2)	ATP13A1 (1.2)	PARP10 (1.2)
A02.835.232	Bone and Bones	Musculoskeletal System	Skeleton	0.06	> 0.20	ANKRD31 (1.8)	TRAPPC6A (1.5)	TRIB1 (1.4)	TIMD4 (1.4)	ERP29 (1.3)	GEMIN7 (1.3)	RHCE (1.3)	ILF3 (1.3)	PARP10 (1.2)	ATP13A1 (1.2)
A03.556.249.249.356.668	Colon  Sigmoid	Digestive System	Gastrointestinal Tract	0.06	> 0.20	CBLC (2.4)	AP1M2 (1.8)	HNF1A (1.7)	DNM2 (1.3)	PLEC (1.1)	TM6SF2 (1.1)	PMFBP1 (1.1)	LPIN3 (1.0)	PCSK9 (1.0)	MOSC1 (1.0)
A15.382.490.315.583	Neutrophils	Hemic and Immune Systems	Immune System	0.06	> 0.20	UBXN2B (5.3)	GMIP (4.4)	LPAR2 (4.2)	TRIB1 (3.8)	OASL (3.8)	BCL3 (3.5)	TRAFD1 (3.3)	MAU2 (3.2)	SLC22A1 (3.1)	SLC44A2 (3.1)
A11.436.397	Keratinocytes	Cells	Epithelial Cells	0.07	> 0.20	CEACAM19 (3.2)	NKPD1 (2.9)	PCSK9 (2.6)	BLOC1S3 (2.3)	CBLC (2.3)	LDLR (2.2)	SARS (1.9)	PMFBP1 (1.7)	YIPF2 (1.7)	SLC44A2 (1.7)
A11.118.637.415	Granulocytes	Cells	Blood Cells	0.07	> 0.20	UBXN2B (5.0)	GMIP (4.1)	LPAR2 (3.9)	TRIB1 (3.5)	OASL (3.4)	BCL3 (3.1)	TRAFD1 (3.0)	MAU2 (3.0)	DNM2 (2.8)	ENSG00000238078 (2.8)
A15.382.812.522	Macrophages	Hemic and Immune Systems	Immune System	0.07	> 0.20	PMFBP1 (2.9)	APOC1 (2.3)	GMIP (2.2)	COL4A3BP (2.1)	SH2B3 (1.8)	ENSG00000228044 (1.7)	MAFB (1.7)	HLX (1.6)	OASL (1.6)	UBXN2B (1.6)
A02.165	Cartilage	Musculoskeletal System	Cartilage	0.08	> 0.20	CILP2 (10.8)	SLC22A1 (5.5)	PLEKHH2 (4.8)	RELB (3.5)	DHX38 (2.8)	ENSG00000254235 (2.1)	POLK (2.1)	PVR (1.9)	DOCK7 (1.8)	BCL3 (1.7)
A03.556.124.369	Intestinal Mucosa	Digestive System	Gastrointestinal Tract	0.08	> 0.20	CBLC (3.0)	HNF1A (2.4)	ABO (2.4)	AP1M2 (2.3)	KIAA1324 (2.1)	TM6SF2 (2.0)	FRK (1.9)	ACAD10 (1.9)	DNM2 (1.6)	C11orf9 (1.5)
A10.615.284.473	Chorion	Tissues	Membranes	0.09	> 0.20	LDLR (2.4)	PVR (2.3)	SARS (1.9)	DOCK7 (1.7)	PTPN11 (1.6)	C12orf43 (1.5)	FADS2 (1.5)	PVRL2 (1.4)	FADS1 (1.4)	ENSG00000254235 (1.3)
A10.615.284	Extraembryonic Membranes	Tissues	Membranes	0.09	> 0.20	LDLR (2.4)	PVR (2.3)	SARS (1.9)	DOCK7 (1.7)	PTPN11 (1.6)	C12orf43 (1.5)	FADS2 (1.5)	PVRL2 (1.4)	FADS1 (1.4)	ENSG00000254235 (1.3)
A15.145.229.334	Erythrocytes	Hemic and Immune Systems	Blood	0.10	> 0.20	RHD (5.4)	RHCE (4.6)	TXNL4B (4.1)	C17orf57 (3.7)	GMPR (3.0)	ITGB3 (2.7)	PCSK9 (2.5)	TMEM116 (2.4)	CETP (2.3)	LPIN3 (2.2)
A11.443	Erythroid Cells	Cells	Erythroid Cells	0.10	> 0.20	RHD (5.6)	RHCE (4.8)	TXNL4B (4.1)	C17orf57 (3.6)	GMPR (3.0)	ITGB3 (2.7)	PCSK9 (2.4)	TMEM116 (2.4)	CETP (2.3)	LPIN3 (2.2)
A15.145.693	Plasma	Hemic and Immune Systems	Blood	0.10	> 0.20	C19orf52 (2.9)	ATP13A1 (2.9)	YIPF2 (2.8)	TIMD4 (2.8)	TSSK6 (2.7)	ABO (2.6)	TMED4 (2.3)	TRIB1 (2.3)	GEMIN7 (2.2)	QTRT1 (2.2)
A15.145.229.637.555.567.562.725	Plasma Cells	Hemic and Immune Systems	Blood	0.10	> 0.20	C19orf52 (3.0)	ATP13A1 (2.9)	YIPF2 (2.8)	TIMD4 (2.8)	TSSK6 (2.7)	ABO (2.6)	TMED4 (2.3)	TRIB1 (2.3)	GEMIN7 (2.2)	QTRT1 (2.2)
A07.231	Blood Vessels	Cardiovascular System	Blood Vessels	0.11	> 0.20	PVR (3.4)	ITGB3 (2.7)	PVRL2 (1.9)	PPP1R37 (1.7)	FADS2 (1.6)	PLCG1 (1.5)	CARM1 (1.4)	SH2B3 (1.4)	DHX38 (1.3)	PTPN11 (1.3)
A11.872.378.590.817	Megakaryocyte Erythroid Progenitor Cells	Cells	Stem Cells	0.12	> 0.20	RHD (3.8)	PCSK9 (3.7)	RHCE (3.0)	TMEM116 (2.9)	NAA25 (2.9)	FEN1 (2.8)	SARS (2.5)	POC5 (2.5)	DHODH (2.4)	PSMA5 (2.3)
A15.378.316.378.590.837.250	Erythroid Precursor Cells	Hemic and Immune Systems	Hematopoietic System	0.12	> 0.20	RHD (3.8)	PCSK9 (3.7)	RHCE (3.0)	TMEM116 (2.9)	NAA25 (2.9)	FEN1 (2.8)	SARS (2.5)	POC5 (2.5)	DHODH (2.4)	PSMA5 (2.3)
A11.063	Antibody Producing Cells	Cells	Antibody-Producing Cells	0.12	> 0.20	ATP13A1 (2.3)	C19orf52 (2.2)	TSSK6 (2.2)	ABO (2.0)	TIMD4 (1.9)	GEMIN7 (1.9)	POC5 (1.9)	BLOC1S3 (1.8)	YIPF2 (1.7)	TMED4 (1.7)
A11.118.637.555.567.562	B Lymphocytes	Cells	Blood Cells	0.12	> 0.20	ATP13A1 (2.3)	C19orf52 (2.2)	TSSK6 (2.2)	ABO (2.0)	TIMD4 (1.9)	GEMIN7 (1.9)	POC5 (1.9)	BLOC1S3 (1.8)	YIPF2 (1.7)	TMED4 (1.7)
A10.615.550	Mucous Membrane	Tissues	Membranes	0.12	> 0.20	CBLC (2.0)	AP1M2 (1.9)	FRK (1.5)	KIAA1324 (1.4)	ABO (1.2)	NYNRIN (1.2)	ACAD10 (1.1)	NT5DC1 (1.0)	ALDH2 (1.0)	DNAH11 (1.0)
A10.615	Membranes	Tissues	Membranes	0.13	> 0.20	CBLC (1.5)	AP1M2 (1.4)	FRK (1.2)	NYNRIN (1.2)	ACAD10 (1.1)	KIAA1324 (1.0)	ABO (1.0)	LDLR (0.9)	BCL3 (0.8)	SLC44A2 (0.7)
A10.165.114.830.500.750	Subcutaneous Fat  Abdominal	Tissues	Connective Tissue	0.14	> 0.20	MOSC1 (4.3)	GPAM (4.3)	CETP (2.7)	PLEKHH2 (2.3)	ALDH2 (2.2)	BCAM (2.0)	COL4A3BP (1.9)	SORT1 (1.8)	KANK2 (1.7)	PTPN11 (1.7)
A10.165.114.830.500	Abdominal Fat	Tissues	Connective Tissue	0.14	> 0.20	MOSC1 (4.3)	GPAM (4.3)	CETP (2.7)	PLEKHH2 (2.3)	ALDH2 (2.2)	BCAM (2.0)	COL4A3BP (1.9)	SORT1 (1.8)	KANK2 (1.7)	PTPN11 (1.7)
A15.382.520.604.700	Spleen	Hemic and Immune Systems	Immune System	0.15	> 0.20	CETP (3.4)	TIMD4 (2.9)	OGDH (2.0)	PLEKHH2 (1.9)	POC5 (1.6)	C1orf63 (1.5)	GMIP (1.3)	USP1 (1.3)	MAFB (1.0)	POLK (1.0)
A10.165.114	Adipose Tissue	Tissues	Connective Tissue	0.16	> 0.20	GPAM (4.2)	MOSC1 (3.7)	PLEKHH2 (2.0)	ALDH2 (1.9)	POLK (1.9)	CETP (1.8)	KANK2 (1.6)	COL4A3BP (1.5)	BCAM (1.5)	ENSG00000238078 (1.3)
A11.436.275	Endothelial Cells	Cells	Epithelial Cells	0.17	> 0.20	PVR (3.4)	ITGB3 (2.8)	PVRL2 (1.9)	SH2B3 (1.8)	PPP1R37 (1.7)	PLCG1 (1.7)	CETP (1.5)	GATAD2A (1.4)	GEMIN7 (1.3)	PTPN11 (1.2)
A15.382.490.555.567	Lymphocytes	Hemic and Immune Systems	Immune System	0.19	> 0.20	POC5 (2.0)	ZNF101 (1.7)	C19orf52 (1.6)	ATP13A1 (1.6)	TSSK6 (1.5)	PBX4 (1.4)	PARP10 (1.4)	SUGP1 (1.4)	MAU2 (1.4)	BLOC1S3 (1.3)
A03.556.249.249.209	Cecum	Digestive System	Gastrointestinal Tract	0.19	> 0.20	CBLC (2.0)	PLEC (1.9)	FRK (1.9)	HNF1A (1.8)	AP1M2 (1.7)	QTRT1 (1.6)	DNM2 (1.5)	PCSK9 (1.3)	OGDH (1.2)	ATP13A1 (1.2)
A07.231.908	Veins	Cardiovascular System	Blood Vessels	0.19	> 0.20	PVR (3.1)	ITGB3 (2.6)	PVRL2 (2.3)	NYNRIN (2.0)	PLCG1 (1.8)	SH2B3 (1.7)	CARM1 (1.7)	PPP1R37 (1.7)	FADS2 (1.5)	GEMIN7 (1.4)
A04.531.520	Nasal Mucosa	Respiratory System	Nose	0.20	> 0.20	DNAH11 (4.4)	TMEM116 (3.1)	KIAA1324 (2.7)	NYNRIN (2.1)	FRK (2.1)	AP1M2 (2.0)	PVRL2 (1.9)	NT5DC1 (1.7)	BCL3 (1.6)	PLEC (1.5)
A10.615.550.760	Respiratory Mucosa	Tissues	Membranes	0.20	> 0.20	DNAH11 (4.4)	TMEM116 (3.1)	KIAA1324 (2.7)	NYNRIN (2.1)	FRK (2.1)	AP1M2 (2.0)	PVRL2 (1.9)	NT5DC1 (1.7)	BCL3 (1.6)	PLEC (1.5)
A09.531	Nose	Sense Organs	Nose	0.20	> 0.20	DNAH11 (4.4)	TMEM116 (3.1)	KIAA1324 (2.7)	NYNRIN (2.1)	FRK (2.1)	AP1M2 (2.0)	PVRL2 (1.9)	NT5DC1 (1.7)	BCL3 (1.6)	PLEC (1.5)
A10.165.114.830.750	Subcutaneous Fat	Tissues	Connective Tissue	0.20	> 0.20	GPAM (4.3)	MOSC1 (4.0)	PLEKHH2 (2.3)	CETP (2.2)	ALDH2 (2.1)	POLK (2.0)	BCAM (1.7)	KANK2 (1.6)	COL4A3BP (1.6)	USP24 (1.6)
A10.165.114.830	Adipose Tissue  White	Tissues	Connective Tissue	0.20	> 0.20	GPAM (4.3)	MOSC1 (4.0)	PLEKHH2 (2.3)	CETP (2.2)	ALDH2 (2.1)	POLK (2.0)	BCAM (1.7)	KANK2 (1.6)	COL4A3BP (1.6)	USP24 (1.6)
A03.556.875.875	Stomach	Digestive System	Gastrointestinal Tract	0.20	> 0.20	KIAA1324 (1.5)	DDX56 (1.4)	KANK2 (1.3)	C1orf63 (1.3)	HNF1A (1.1)	C11orf9 (1.1)	PARP10 (1.1)	PLEKHH2 (1.0)	TOMM40 (0.9)	OGDH (0.9)
A10.690.552.500	Muscle  Skeletal	Tissues	Muscles	0.21	> 0.20	SYPL2 (6.2)	ATXN7L2 (3.8)	GMPR (3.5)	GOT2P1 (3.1)	CARM1 (3.0)	CEACAM19 (2.9)	USP24 (2.8)	PLEC (2.7)	OGDH (2.7)	ABO (2.4)
A10.690.552	Muscle  Striated	Tissues	Muscles	0.21	> 0.20	SYPL2 (6.2)	ATXN7L2 (3.8)	GMPR (3.5)	GOT2P1 (3.1)	CARM1 (3.0)	CEACAM19 (2.9)	USP24 (2.8)	PLEC (2.7)	OGDH (2.7)	ABO (2.4)
A15.145.229.188	Blood Platelets	Hemic and Immune Systems	Blood	0.21	> 0.20	C17orf57 (8.6)	ITGB3 (8.0)	RHD (7.2)	TXNL4B (7.1)	RHCE (6.7)	CETP (6.2)	LPIN3 (5.3)	NPC1L1 (4.8)	GMPR (4.7)	PBX4 (3.7)
A02.633.567.850	Quadriceps Muscle	Musculoskeletal System	Muscles	0.22	> 0.20	SYPL2 (6.3)	ATXN7L2 (4.0)	GMPR (3.6)	CARM1 (3.2)	CEACAM19 (3.2)	GOT2P1 (3.0)	USP24 (2.8)	OGDH (2.7)	PLEC (2.6)	DHX38 (2.4)
A03.556.875	Upper Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.23	> 0.20	DDX56 (1.2)	KANK2 (1.2)	KIAA1324 (1.1)	OGDH (1.1)	C1orf63 (1.0)	TOMM40 (0.9)	PLEC (0.9)	AP1M2 (0.9)	PARP10 (0.9)	CBLC (0.9)
A07.231.908.670.874	Umbilical Veins	Cardiovascular System	Blood Vessels	0.24	> 0.20	PVR (3.3)	ITGB3 (2.8)	PVRL2 (2.4)	NYNRIN (2.1)	SH2B3 (1.9)	PPP1R37 (1.8)	PLCG1 (1.7)	CARM1 (1.7)	C12orf43 (1.6)	GEMIN7 (1.5)
A07.231.908.670	Portal System	Cardiovascular System	Blood Vessels	0.24	> 0.20	PVR (3.3)	ITGB3 (2.8)	PVRL2 (2.4)	NYNRIN (2.1)	SH2B3 (1.9)	PPP1R37 (1.8)	PLCG1 (1.7)	CARM1 (1.7)	C12orf43 (1.6)	GEMIN7 (1.5)
A05.360.319.114.373	Fallopian Tubes	Urogenital System	Genitalia	0.25	> 0.20	BCAM (3.2)	CILP2 (1.8)	USP1 (1.6)	NYNRIN (1.6)	ADAM1 (1.6)	SMARCA4 (1.5)	AP1M2 (1.5)	DYNC2LI1 (1.5)	C1orf63 (1.3)	SLC44A2 (1.3)
A05.360.319.679.490	Endometrium	Urogenital System	Genitalia	0.25	> 0.20	KIAA1324 (2.3)	DYNC2LI1 (1.7)	PLEKHH2 (1.6)	MYLIP (1.6)	C1orf63 (1.4)	KANK2 (1.3)	TMED4 (1.1)	SMARCA4 (1.1)	AP1M2 (1.0)	PLCG1 (1.0)
A10.690	Muscles	Tissues	Muscles	0.26	> 0.20	SYPL2 (4.5)	ATXN7L2 (2.8)	GMPR (2.5)	GOT2P1 (2.4)	CEACAM19 (2.4)	CARM1 (2.3)	PLEC (2.2)	OGDH (2.0)	DHX38 (1.8)	USP24 (1.7)
A02.835.583.443.800.800	Synovial Fluid	Musculoskeletal System	Skeleton	0.26	> 0.20	PBX4 (4.2)	OASL (3.4)	ZNF101 (3.3)	ENSG00000226648 (3.1)	TIMD4 (3.0)	RELB (2.6)	DNM2 (2.6)	TRAPPC6A (2.2)	C12orf47 (2.1)	CYB561D1 (2.1)
A09.371	Eye	Sense Organs	Eye	0.27	> 0.20	ST3GAL4 (2.0)	COL4A3BP (1.9)	MYLIP (1.6)	GMPR (1.5)	DOCK7 (1.5)	ENSG00000235545 (1.4)	NAA25 (1.2)	SUGP1 (1.2)	C12orf43 (1.2)	C19orf52 (1.1)
A15.382.520	Lymphatic System	Hemic and Immune Systems	Immune System	0.28	> 0.20	TIMD4 (4.5)	CETP (3.7)	C1orf63 (1.8)	ZNF101 (1.5)	GMIP (1.4)	USP1 (1.2)	RELB (1.2)	APOC1 (1.2)	USP24 (1.2)	PARP10 (1.1)
A10.549	Lymphoid Tissue	Tissues	Lymphoid Tissue	0.28	> 0.20	TIMD4 (4.5)	CETP (3.7)	C1orf63 (1.8)	ZNF101 (1.5)	GMIP (1.4)	USP1 (1.2)	RELB (1.2)	APOC1 (1.2)	USP24 (1.2)	PARP10 (1.1)
A05.360.319	Genitalia  Female	Urogenital System	Genitalia	0.28	> 0.20	BCAM (1.7)	DYNC2LI1 (1.2)	PLEKHH2 (1.1)	SMARCA4 (1.1)	C1orf63 (1.0)	NYNRIN (1.0)	AP1M2 (1.0)	USP1 (0.9)	TMED4 (0.9)	KANK2 (0.9)
