Name	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
Heart - Atrial Appendage	0.3	>=0.20	OGDH (5.7)	GRINA (5.7)	KANK2 (5.7)	ALDH2 (5.7)	BCAM (5.1)	APOE (5.1)	CLPTM1 (5.1)	GMPR (4.9)	SARS (4.8)	TMEM50A (4.6)
Heart - Left Ventricle	0.31	>=0.20	GMPR (5.7)	ALDH2 (5.7)	KANK2 (5.7)	OGDH (5.7)	GRINA (5.5)	CLPTM1 (5.3)	BCAM (5.2)	PLEC (4.9)	SARS (4.6)	SORT1 (4.4)
Skin - Sun Exposed (Lower leg)	0.33	>=0.20	ALDH2 (5.7)	GRINA (5.7)	ERP29 (5.7)	SARS (5.7)	CLPTM1 (5.7)	APOE (5.7)	MAFB (5.6)	PLEC (5.5)	OGDH (5.2)	BCAM (5.2)
Brain - Frontal Cortex (BA9)	0.45	>=0.20	SARS (5.7)	SORT1 (5.7)	GRINA (5.7)	CLPTM1 (5.7)	APOE (5.7)	ALDH2 (5.7)	PTPN11 (5.4)	HAPLN4 (5.1)	OGDH (4.8)	NCAN (4.7)
Brain - Cortex	0.47	>=0.20	CLPTM1 (5.7)	SARS (5.7)	ALDH2 (5.7)	HAPLN4 (5.7)	APOE (5.7)	GRINA (5.7)	SORT1 (5.4)	OGDH (5.0)	PTPN11 (5.0)	NCAN (4.9)
Brain - Anterior cingulate cortex (BA24)	0.49	>=0.20	CLPTM1 (5.7)	GRINA (5.7)	ALDH2 (5.7)	APOE (5.7)	SORT1 (5.7)	PTPN11 (5.5)	SARS (5.3)	FADS2 (4.8)	OGDH (4.6)	NCAN (4.6)
Brain - Cerebellum	0.54	>=0.20	CLPTM1 (5.7)	PLCG1 (5.7)	GRINA (5.7)	ALDH2 (5.7)	APOE (5.7)	DDX56 (5.5)	SARS (5.4)	ERP29 (5.1)	C12orf51 (5.0)	TMED4 (4.9)
Pituitary	0.55	>=0.20	GRINA (5.7)	ALDH2 (5.7)	C1orf63 (5.7)	ERP29 (5.7)	YIPF2 (5.7)	SARS (5.6)	KIAA1324 (5.6)	TMED4 (5.4)	CLPTM1 (5.3)	PPP1R37 (5.2)
Brain - Cerebellar Hemisphere	0.56	>=0.20	APOE (5.7)	PLCG1 (5.7)	GRINA (5.7)	ALDH2 (5.6)	CLPTM1 (5.5)	SARS (5.4)	DDX56 (5.3)	ERP29 (5.1)	TMED4 (5.0)	C1orf63 (5.0)
Brain - Spinal cord (cervical c-1)	0.58	>=0.20	GRINA (5.7)	ALDH2 (5.7)	APOC1 (5.7)	PTPN11 (5.7)	SORT1 (5.7)	APOE (5.7)	C11orf9 (5.7)	CLPTM1 (5.2)	PSRC1 (5.2)	SARS (4.8)
Brain - Putamen (basal ganglia)	0.58	>=0.20	ALDH2 (5.7)	CLPTM1 (5.7)	APOE (5.7)	APOC1 (5.7)	GRINA (5.7)	PTPN11 (5.6)	SORT1 (5.1)	C11orf9 (5.0)	FADS2 (5.0)	SARS (4.7)
Brain - Nucleus accumbens (basal ganglia)	0.6	>=0.20	GRINA (5.7)	ALDH2 (5.7)	CLPTM1 (5.7)	APOE (5.7)	APOC1 (5.7)	PTPN11 (5.6)	FADS2 (5.3)	SARS (5.1)	NCAN (5.0)	SORT1 (5.0)
Brain - Caudate (basal ganglia)	0.61	>=0.20	CLPTM1 (5.7)	APOE (5.7)	ALDH2 (5.7)	GRINA (5.7)	APOC1 (5.7)	PTPN11 (5.5)	FADS2 (5.3)	SORT1 (5.1)	NCAN (4.9)	SARS (4.9)
Brain - Amygdala	0.62	>=0.20	ALDH2 (5.7)	GRINA (5.7)	PTPN11 (5.7)	APOE (5.7)	CLPTM1 (5.6)	APOC1 (5.5)	FADS2 (5.3)	SORT1 (5.1)	NCAN (5.0)	SARS (4.9)
Brain - Hippocampus	0.65	>=0.20	APOE (5.7)	ALDH2 (5.7)	SORT1 (5.7)	GRINA (5.7)	CLPTM1 (5.6)	PTPN11 (5.5)	C11orf9 (5.3)	APOC1 (5.2)	SARS (5.1)	PSRC1 (5.0)
Brain - Substantia nigra	0.71	>=0.20	APOE (5.7)	PTPN11 (5.7)	ALDH2 (5.7)	GRINA (5.7)	APOC1 (5.7)	C11orf9 (5.7)	SORT1 (5.5)	CLPTM1 (5.4)	SARS (5.0)	FADS2 (5.0)
Brain - Hypothalamus	0.77	>=0.20	GRINA (5.7)	APOE (5.7)	CLPTM1 (5.7)	ALDH2 (5.7)	APOC1 (5.7)	PTPN11 (5.6)	SARS (5.4)	FADS2 (5.3)	C11orf9 (5.2)	SORT1 (5.1)
